Trial,Date,ID,排遺放置位置,排遺樣本,,放入老鼠,放入排遺、食物,End,Duration,Exp剩餘食物量(g),Control剩餘食物量(g),Exp被叼出食物量(g),Control被叼出食物量(g),備註
1,20241010,20240330-59045-59028 baby 3 yellow,R,HECLF001,,14:13:11,N/A,14:44:32,00:31:21,27.6,28.8,N/A,N/A,控制組剩餘食物量，未計入當時被高田叼出的一塊胡蘿蔔
2,20241011,59187,L,HECLF001,,14:11:23,N/A,14:42:49,00:31:26,31.2,30.4,0,0,食物在前一天準備時秤重為30g，可能放在生長箱後處裡不當，取出後重量可能>30g，之後改為實驗當日準備食物並秤重
3,20241013,59215,R,HECLF001,,14:12:23,N/A,14:42:35,00:30:12,28.2,28.4,N/A,N/A,高田自左、右各叼出一塊胡蘿蔔，已各自加入盤內其他胡蘿蔔一起秤重。
4,20241018,59181,L,HECLF001,,14:21:00,14:27:23,14:57:31,00:30:08,28.09,26.67,0,0.47,胡蘿蔔自控制組端叼出；原定於10/16實驗，當天放入老鼠適應時，才發現記憶卡空間不足無法完整錄影，而延後實驗排程。
5,20241017,12693,L,HECLF001,,13:54:09,14:01:36,14:31:31,00:29:55,23,28.4,0.6,0,胡蘿蔔自實驗組端叼出。
6,20241017,59200,R,HECLF002,,15:57:10,16:04:12,16:34:21,00:30:09,27.4,29.1,0,0,
7,20241024,20240330-59045-59028 baby 3 yellow,L,HECLF002+奕傑樣本,,13:48:38,13:55:35,14:26:02,00:30:27,29.64,24.36,0,0.92,
8,20241024,59187,R,琳雅樣本(混用),,16:24:46,16:31:35,17:02:01,00:30:26,29.52,29.05,0,0,"排遺原標示：20210618-006 10M003, 10M010；因操作失誤，未能錄製完整實驗過程"
9,20241026,59187,L,琳雅樣本(混用),,14:21:23,14:29:00,14:59:00,00:30:00,28.63,27.95,0.73,1.22,沿用前次實驗使用排遺
10,20241217,20241030 CL2-23 Ak F,R,YUYRF001,,14:01:21,14:07:36,14:37:41,00:30:05,27.75,28.87,0,0,
11,20241218,20241029 CL2-16 Ak F,L,YUYRF001 + YUSHF001,,14:03:14,14:10:19,14:40:22,00:30:03,27.96,29.71,0,0,
12,20241218,20241030 CL2-24 Ak F,R,YUSHF001,,16:07:36,16:14:10,16:44:17,00:30:07,28.82,28.72,0,0,
13,20241220,20241029 CL1-7 Ak M,L,YUDPF001,,14:00:04,14:07:32,14:37:37,00:30:05,25.99,29.75,0,0,
14,20241220,20241030 CL1-4 Ak M,R,YUDPF001,,16:26:18,16:32:41,17:02:50,00:30:09,28.68,29.49,0,0,
15,20250216,20241225 CL3-8-2 Ak M,L,HECLB001,,14:00:09,14:11:43,14:41:45,00:30:02,27.65,27.69,0,0,因操作失誤，未能錄製完整實驗過程
16,20250216,20241226 CL5-5 Ak M,R,HECLB001,,16:28:44,16:40:20,17:10:45,00:30:25,29.72,29.12,0,0,
17,20250217,20241226 CL5-14 Ak M,L,HECLB001,,14:00:08,14:11:43,14:42:00,00:30:17,29.15,28.98,0,0.61,
18,20250217,20241225 CL3-20 Ak F,R,HECLB002,,16:21:00,16:32:50,17:03:00,00:30:10,29.29,28.25,0,0,
19,20250219,20241225 CL3-8-2 Ak M,R,HECLB001,,14:13:55,14:25:56,14:56:00,00:30:04,26.73,26.87,0,0,沿用前次實驗使用排遺
